order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item,not_shipped,not_delivered,delivery_time
19748,15858,Cancelled,F,2023-01-11 10:50:00+00:00,Not Returned,,,1,True,True,
19936,16000,Cancelled,F,2023-01-13 07:06:00+00:00,Not Returned,,,1,True,True,
20100,16139,Cancelled,F,2023-04-01 00:44:00+00:00,Not Returned,,,3,True,True,
20425,16421,Cancelled,F,2023-06-17 04:01:00+00:00,Not Returned,,,4,True,True,
20490,16464,Cancelled,F,2023-01-27 15:29:00+00:00,Not Returned,,,1,True,True,
20888,16778,Cancelled,F,2023-05-21 16:35:00+00:00,Not Returned,,,1,True,True,
21696,17399,Cancelled,F,2023-04-30 03:57:00+00:00,Not Returned,,,1,True,True,
21805,17485,Cancelled,F,2023-04-16 16:37:00+00:00,Not Returned,,,1,True,True,
21992,17636,Cancelled,F,2023-03-26 18:35:00+00:00,Not Returned,,,1,True,True,
22282,17881,Cancelled,F,2023-06-10 07:20:00+00:00,Not Returned,,,4,True,True,
22726,18223,Cancelled,F,2023-02-16 18:34:00+00:00,Not Returned,,,1,True,True,
22804,18286,Cancelled,F,2023-01-28 12:42:00+00:00,Not Returned,,,1,True,True,
23024,18469,Cancelled,F,2023-06-04 11:05:00+00:00,Not Returned,,,1,True,True,
23181,18593,Cancelled,F,2023-06-24 04:10:00+00:00,Not Returned,,,4,True,True,
23449,18792,Cancelled,F,2023-03-28 07:16:00+00:00,Not Returned,,,1,True,True,
23502,18832,Cancelled,F,2023-06-20 17:23:00+00:00,Not Returned,,,1,True,True,
23533,18855,Cancelled,F,2023-03-16 16:38:00+00:00,Not Returned,,,2,True,True,
23720,19000,Cancelled,F,2023-06-05 00:11:00+00:00,Not Returned,,,1,True,True,
23870,19122,Cancelled,F,2023-02-19 14:56:00+00:00,Not Returned,,,1,True,True,
23953,19201,Cancelled,F,2023-03-01 16:57:00+00:00,Not Returned,,,1,True,True,
24242,19421,Cancelled,F,2023-02-24 16:27:00+00:00,Not Returned,,,1,True,True,
24520,19627,Cancelled,F,2023-06-30 07:18:00+00:00,Not Returned,,,1,True,True,
24619,19710,Cancelled,F,2023-03-28 00:11:00+00:00,Not Returned,,,2,True,True,
24690,19774,Cancelled,F,2023-02-24 15:01:00+00:00,Not Returned,,,1,True,True,
24973,19996,Cancelled,F,2023-05-08 11:16:00+00:00,Not Returned,,,2,True,True,
25251,20206,Cancelled,F,2023-04-02 12:57:00+00:00,Not Returned,,,1,True,True,
25623,20521,Cancelled,F,2023-02-16 01:17:00+00:00,Not Returned,,,1,True,True,
25803,20656,Cancelled,F,2023-03-16 18:13:00+00:00,Not Returned,,,2,True,True,
25833,20679,Cancelled,F,2023-06-12 11:50:00+00:00,Not Returned,,,1,True,True,
26036,20852,Cancelled,F,2023-05-06 00:23:00+00:00,Not Returned,,,1,True,True,
26351,21095,Cancelled,F,2023-06-11 06:50:00+00:00,Not Returned,,,1,True,True,
26569,21266,Cancelled,F,2023-05-17 09:53:00+00:00,Not Returned,,,2,True,True,
26596,21291,Cancelled,F,2023-03-11 05:02:00+00:00,Not Returned,,,1,True,True,
27691,22171,Cancelled,F,2023-03-30 04:59:00+00:00,Not Returned,,,2,True,True,
27802,22248,Cancelled,F,2023-05-28 11:15:00+00:00,Not Returned,,,1,True,True,
28147,22521,Cancelled,F,2023-05-09 03:09:00+00:00,Not Returned,,,1,True,True,
28463,22760,Cancelled,F,2023-06-13 14:18:00+00:00,Not Returned,,,1,True,True,
28952,23148,Cancelled,F,2023-03-15 10:51:00+00:00,Not Returned,,,2,True,True,
29032,23219,Cancelled,F,2023-02-05 00:55:00+00:00,Not Returned,,,1,True,True,
29047,23226,Cancelled,F,2023-03-28 00:17:00+00:00,Not Returned,,,3,True,True,
29081,23262,Cancelled,F,2023-05-31 00:09:00+00:00,Not Returned,,,2,True,True,
29398,23529,Cancelled,F,2023-02-11 11:43:00+00:00,Not Returned,,,1,True,True,
29431,23561,Cancelled,F,2023-05-13 10:37:00+00:00,Not Returned,,,2,True,True,
29522,23629,Cancelled,F,2023-06-09 12:33:00+00:00,Not Returned,,,2,True,True,
29673,23757,Cancelled,F,2023-06-11 13:46:00+00:00,Not Returned,,,1,True,True,
29685,23770,Cancelled,F,2023-06-25 18:52:00+00:00,Not Returned,,,1,True,True,
29853,23908,Cancelled,F,2023-05-17 12:24:00+00:00,Not Returned,,,1,True,True,
30061,24072,Cancelled,F,2023-06-04 05:36:00+00:00,Not Returned,,,2,True,True,
30327,24288,Cancelled,F,2023-01-09 00:03:00+00:00,Not Returned,,,2,True,True,
30419,24364,Cancelled,F,2023-01-22 06:23:00+00:00,Not Returned,,,2,True,True,
30454,24395,Cancelled,F,2023-02-04 14:13:00+00:00,Not Returned,,,1,True,True,
30543,24457,Cancelled,F,2023-03-13 07:15:00+00:00,Not Returned,,,1,True,True,
30640,24524,Cancelled,F,2023-02-27 11:34:00+00:00,Not Returned,,,4,True,True,
30709,24582,Cancelled,F,2023-01-13 07:25:00+00:00,Not Returned,,,1,True,True,
30900,24712,Cancelled,F,2023-05-01 16:18:00+00:00,Not Returned,,,1,True,True,
31258,24988,Cancelled,F,2023-02-25 18:13:00+00:00,Not Returned,,,2,True,True,
31292,25013,Cancelled,F,2023-04-14 03:48:00+00:00,Not Returned,,,2,True,True,
31567,25241,Cancelled,F,2023-05-01 14:17:00+00:00,Not Returned,,,3,True,True,
31647,25301,Cancelled,F,2023-04-30 07:15:00+00:00,Not Returned,,,1,True,True,
31741,25375,Cancelled,F,2023-04-16 05:53:00+00:00,Not Returned,,,1,True,True,
31907,25514,Cancelled,F,2023-01-04 01:42:00+00:00,Not Returned,,,1,True,True,
32060,25645,Cancelled,F,2023-02-05 09:16:00+00:00,Not Returned,,,1,True,True,
32141,25723,Cancelled,F,2023-06-22 04:42:00+00:00,Not Returned,,,1,True,True,
32192,25765,Cancelled,F,2023-01-28 05:35:00+00:00,Not Returned,,,1,True,True,
32262,25815,Cancelled,F,2023-03-16 04:28:00+00:00,Not Returned,,,1,True,True,
32298,25849,Cancelled,F,2023-02-15 16:33:00+00:00,Not Returned,,,4,True,True,
32345,25881,Cancelled,F,2023-02-02 15:00:00+00:00,Not Returned,,,1,True,True,
32401,25924,Cancelled,F,2023-01-06 14:05:00+00:00,Not Returned,,,1,True,True,
32618,26113,Cancelled,F,2023-02-06 18:48:00+00:00,Not Returned,,,1,True,True,
32866,26328,Cancelled,F,2023-04-20 10:04:00+00:00,Not Returned,,,2,True,True,
32886,26342,Cancelled,F,2023-04-24 07:54:00+00:00,Not Returned,,,4,True,True,
33281,26665,Cancelled,F,2023-03-05 16:36:00+00:00,Not Returned,,,4,True,True,
33391,26747,Cancelled,F,2023-02-09 12:49:00+00:00,Not Returned,,,1,True,True,
33438,26779,Cancelled,F,2023-01-14 08:48:00+00:00,Not Returned,,,1,True,True,
33599,26903,Cancelled,F,2023-05-21 06:49:00+00:00,Not Returned,,,1,True,True,
33656,26940,Cancelled,F,2023-01-16 02:10:00+00:00,Not Returned,,,1,True,True,
33657,26942,Cancelled,F,2023-04-14 15:29:00+00:00,Not Returned,,,1,True,True,
34092,27292,Cancelled,F,2023-02-24 02:25:00+00:00,Not Returned,,,1,True,True,
34497,27616,Cancelled,F,2023-06-05 18:35:00+00:00,Not Returned,,,1,True,True,
34624,27721,Cancelled,F,2023-02-09 18:56:00+00:00,Not Returned,,,4,True,True,
35032,28056,Cancelled,F,2023-04-08 02:26:00+00:00,Not Returned,,,1,True,True,
35430,28367,Cancelled,F,2023-05-17 17:11:00+00:00,Not Returned,,,1,True,True,
35532,28442,Cancelled,F,2023-05-22 01:49:00+00:00,Not Returned,,,1,True,True,
35672,28556,Cancelled,F,2023-02-23 07:06:00+00:00,Not Returned,,,2,True,True,
35676,28558,Cancelled,F,2023-04-08 08:20:00+00:00,Not Returned,,,1,True,True,
35715,28585,Cancelled,F,2023-01-29 14:16:00+00:00,Not Returned,,,4,True,True,
35726,28596,Cancelled,F,2023-06-17 00:17:00+00:00,Not Returned,,,1,True,True,
35826,28667,Cancelled,F,2023-05-29 11:47:00+00:00,Not Returned,,,1,True,True,
35846,28680,Cancelled,F,2023-06-03 08:49:00+00:00,Not Returned,,,1,True,True,
35885,28707,Cancelled,F,2023-02-16 15:09:00+00:00,Not Returned,,,1,True,True,
36006,28827,Cancelled,F,2023-04-10 15:02:00+00:00,Not Returned,,,2,True,True,
36094,28896,Cancelled,F,2023-03-04 01:47:00+00:00,Not Returned,,,4,True,True,
36669,29343,Cancelled,F,2023-02-25 15:08:00+00:00,Not Returned,,,1,True,True,
36679,29353,Cancelled,F,2023-02-21 13:49:00+00:00,Not Returned,,,1,True,True,
36885,29519,Cancelled,F,2023-02-14 12:00:00+00:00,Not Returned,,,1,True,True,
37189,29758,Cancelled,F,2023-03-22 02:15:00+00:00,Not Returned,,,1,True,True,
37749,30243,Cancelled,F,2023-03-25 02:18:00+00:00,Not Returned,,,1,True,True,
37761,30253,Cancelled,F,2023-01-12 00:55:00+00:00,Not Returned,,,2,True,True,
37817,30293,Cancelled,F,2023-02-22 17:02:00+00:00,Not Returned,,,2,True,True,
37854,30327,Cancelled,F,2023-01-04 18:08:00+00:00,Not Returned,,,1,True,True,
37888,30350,Cancelled,F,2023-06-23 03:53:00+00:00,Not Returned,,,1,True,True,
37895,30354,Cancelled,F,2023-04-21 15:29:00+00:00,Not Returned,,,1,True,True,
37979,30413,Cancelled,F,2023-04-03 15:46:00+00:00,Not Returned,,,2,True,True,
38263,30638,Cancelled,F,2023-05-13 14:23:00+00:00,Not Returned,,,3,True,True,
38517,30845,Cancelled,F,2023-01-30 01:44:00+00:00,Not Returned,,,1,True,True,
38535,30860,Cancelled,F,2023-05-09 04:27:00+00:00,Not Returned,,,2,True,True,
38549,30870,Cancelled,F,2023-04-26 14:07:00+00:00,Not Returned,,,1,True,True,
38588,30897,Cancelled,F,2023-06-18 06:17:00+00:00,Not Returned,,,4,True,True,
38676,30967,Cancelled,F,2023-06-30 01:30:00+00:00,Not Returned,,,2,True,True,
38841,31087,Cancelled,F,2023-04-01 13:21:00+00:00,Not Returned,,,1,True,True,
38842,31087,Cancelled,F,2023-04-22 13:21:00+00:00,Not Returned,,,1,True,True,
38976,31202,Cancelled,F,2023-03-23 04:42:00+00:00,Not Returned,,,1,True,True,
39203,31390,Cancelled,F,2023-04-21 08:20:00+00:00,Not Returned,,,1,True,True,
39526,31631,Cancelled,F,2023-02-07 00:32:00+00:00,Not Returned,,,4,True,True,
39637,31714,Cancelled,F,2023-05-31 01:28:00+00:00,Not Returned,,,2,True,True,
39652,31725,Cancelled,F,2023-02-25 14:00:00+00:00,Not Returned,,,1,True,True,
39736,31787,Cancelled,F,2023-05-28 16:49:00+00:00,Not Returned,,,1,True,True,
39930,31952,Cancelled,F,2023-02-07 06:37:00+00:00,Not Returned,,,1,True,True,
39990,31997,Cancelled,F,2023-06-14 15:47:00+00:00,Not Returned,,,1,True,True,
40230,32211,Cancelled,F,2023-03-23 16:45:00+00:00,Not Returned,,,1,True,True,
40326,32288,Cancelled,F,2023-03-12 03:46:00+00:00,Not Returned,,,2,True,True,
40868,32695,Cancelled,F,2023-03-05 13:22:00+00:00,Not Returned,,,4,True,True,
41042,32830,Cancelled,F,2023-02-10 13:31:00+00:00,Not Returned,,,1,True,True,
41220,32971,Cancelled,F,2023-05-22 11:07:00+00:00,Not Returned,,,1,True,True,
41221,32971,Cancelled,F,2023-02-05 11:07:00+00:00,Not Returned,,,1,True,True,
41645,33298,Cancelled,F,2023-03-12 03:46:00+00:00,Not Returned,,,2,True,True,
41734,33370,Cancelled,F,2023-04-03 06:12:00+00:00,Not Returned,,,1,True,True,
41843,33445,Cancelled,F,2023-06-02 06:59:00+00:00,Not Returned,,,1,True,True,
42030,33590,Cancelled,F,2023-01-19 02:14:00+00:00,Not Returned,,,4,True,True,
42229,33751,Cancelled,F,2023-03-12 04:27:00+00:00,Not Returned,,,1,True,True,
42413,33885,Cancelled,F,2023-01-28 10:28:00+00:00,Not Returned,,,4,True,True,
42414,33885,Cancelled,F,2023-04-23 10:28:00+00:00,Not Returned,,,4,True,True,
42554,33990,Cancelled,F,2023-01-23 06:03:00+00:00,Not Returned,,,1,True,True,
42608,34033,Cancelled,F,2023-05-27 15:43:00+00:00,Not Returned,,,2,True,True,
42633,34056,Cancelled,F,2023-04-04 07:35:00+00:00,Not Returned,,,1,True,True,
42704,34118,Cancelled,F,2023-03-31 09:07:00+00:00,Not Returned,,,1,True,True,
42791,34179,Cancelled,F,2023-06-25 08:42:00+00:00,Not Returned,,,1,True,True,
42805,34195,Cancelled,F,2023-04-14 15:02:00+00:00,Not Returned,,,2,True,True,
42874,34247,Cancelled,F,2023-02-08 16:06:00+00:00,Not Returned,,,4,True,True,
43073,34419,Cancelled,F,2023-04-20 11:02:00+00:00,Not Returned,,,1,True,True,
43190,34513,Cancelled,F,2023-05-16 00:44:00+00:00,Not Returned,,,1,True,True,
43659,34925,Cancelled,F,2023-06-21 04:20:00+00:00,Not Returned,,,2,True,True,
43825,35084,Cancelled,F,2023-06-26 12:01:00+00:00,Not Returned,,,4,True,True,
43960,35185,Cancelled,F,2023-02-19 16:24:00+00:00,Not Returned,,,1,True,True,
44324,35478,Cancelled,F,2023-06-03 13:54:00+00:00,Not Returned,,,1,True,True,
44351,35498,Cancelled,F,2023-06-23 05:06:00+00:00,Not Returned,,,1,True,True,
44522,35636,Cancelled,F,2023-06-07 07:33:00+00:00,Not Returned,,,2,True,True,
44609,35702,Cancelled,F,2023-05-13 10:39:00+00:00,Not Returned,,,1,True,True,
44725,35786,Cancelled,F,2023-05-07 15:14:00+00:00,Not Returned,,,1,True,True,
44734,35792,Cancelled,F,2023-03-03 02:01:00+00:00,Not Returned,,,1,True,True,
44773,35827,Cancelled,F,2023-02-15 02:46:00+00:00,Not Returned,,,2,True,True,
44810,35860,Cancelled,F,2023-02-11 07:38:00+00:00,Not Returned,,,1,True,True,
44828,35872,Cancelled,F,2023-01-20 15:40:00+00:00,Not Returned,,,2,True,True,
45125,36116,Cancelled,F,2023-03-29 12:49:00+00:00,Not Returned,,,1,True,True,
45303,36249,Cancelled,F,2023-05-19 00:50:00+00:00,Not Returned,,,1,True,True,
45423,36340,Cancelled,F,2023-01-24 08:35:00+00:00,Not Returned,,,1,True,True,
45513,36405,Cancelled,F,2023-03-26 18:41:00+00:00,Not Returned,,,1,True,True,
45553,36433,Cancelled,F,2023-04-15 10:39:00+00:00,Not Returned,,,1,True,True,
45655,36512,Cancelled,F,2023-01-08 17:36:00+00:00,Not Returned,,,1,True,True,
45675,36531,Cancelled,F,2023-04-24 14:53:00+00:00,Not Returned,,,2,True,True,
45739,36593,Cancelled,F,2023-05-13 07:03:00+00:00,Not Returned,,,1,True,True,
45790,36640,Cancelled,F,2023-06-22 14:52:00+00:00,Not Returned,,,1,True,True,
45846,36675,Cancelled,F,2023-01-26 04:54:00+00:00,Not Returned,,,1,True,True,
45865,36687,Cancelled,F,2023-05-14 04:13:00+00:00,Not Returned,,,2,True,True,
45867,36688,Cancelled,F,2023-03-17 16:18:00+00:00,Not Returned,,,1,True,True,
45992,36786,Cancelled,F,2023-04-11 10:11:00+00:00,Not Returned,,,1,True,True,
46502,37173,Cancelled,F,2023-04-01 07:29:00+00:00,Not Returned,,,1,True,True,
47054,37625,Cancelled,F,2023-03-17 12:43:00+00:00,Not Returned,,,1,True,True,
